questions	answers	labels
請問您是否知道您所繳的保費會扣除相關費用後（像：保單管理費、保險成本等），才進入投資帳戶？請問您知道說繳保費會扣除相關費用後才進入投資帳戶	他那個	0
請問您本次投保繳交保費的資金來源是否為？請問本是保費的資金來源是否為	阿	0
請問您是否知道本次購買的是○○人壽的投資型保險，需自行承擔淨值變動的風險， 並無投資方面的保證？請問您知道本子購買安聯人生投資型保險是自行承擔禁止變動的風險並沒有投資方面的保證	嗎	0
請問您投保時，是否皆由○○分行的○○○，在旁邊協助，並由要保人○○○及被保 險人○○○親自簽名，且被保險人之健康告知事項皆由被保險人確認後親自填寫？請問您的時候是否有分行的邱泳圈旁邊做協助棒球要保人味道兩極被保險人回到量親自簽名被保險人而且被保險人健康告知事項街友被保險人確認後親自填寫	是好的	1
請問您是否已事先審慎評估自身財務狀況與風險承受能力，並願承擔因財務槓桿操作方式所面臨的風險及辦理保單解約轉投保之權益損失，除辦理貸款或保單借款需支付本金及利息外，還有該產品可能發生之相關風險及最大可能損失，且本行人員並未鼓勵或勸誘以辦理貸款、保單借款、保單解約/保單終止及定存解約之方式購買保險，請問您是否已瞭解？請問您是否已是先請問評估自身的財務狀況分分風險承受能力定讞萬一財務槓桿操作方式所面臨的風險辦理三解約轉轉投保資料權益損失那處辦理貸款附保單借款去支付本金利息以外還有產品可能發展相關保險局最大可能損失本行人員定位鼓勵或確認有一半貸款保單借款保單解約保單種植定存解約的方式來購買保險請問您是否已了解	繳費知道	1
您好！這裡是玉山銀行總行保代部/OO分行，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行總行保單不必杏堯員工編號二零二七一好請問是余因為小姐本人嗎	是	1
感謝您近期透過本行投保 ○○人壽○○○，繳費年期為○年/躉繳，依照保險法令的要求，為保障您的權益，稍後電話訪問內容將會全程錄音，請問您同意嗎？感謝您近期有透過本行投保中國人壽三精彩利率變動型終身受限繳費日期是三年那個保險費要求為了保障您的權益等一下電話服務的內容會全程錄音好請問您同意嗎	同意	1
請問您是否知道您所繳的保費會扣除相關費用後（像：保單管理費、保險成本等），才進入投資帳戶？請問您知道說繳保費會扣除相關費用後才進入投資帳戶	條款嗎	0
感謝您近期透過本行投保○○人壽○○○，繳費年期為O年/躉繳，依照保險法令的要求，為保障您的權益，稍後電話訪問內容將會全程錄音，請問您同意嗎？感謝你定期透過本行投保發現法國巴黎人壽幸福世代遞減定期受限繳費年輕一次付清依照保險法的要求要保障權益等一下電話訪問內容會全程錄音請問同意嗎	沒聽說耶	0
請問您是否已事先審慎評估自身財務狀況與風險承受能力，並願承擔因財務槓桿操作方式所面臨的風險及辦理保單解約轉投保之權益損失，除辦理貸款或保單借款需支付本金及利息外，還有該產品可能發生之相關風險及最大可能損失，且本行人員並未鼓勵或勸誘以辦理貸款、保單借款、保單解約/保單終止及定存解約之方式購買保險，請問您是否已瞭解？請問您是否已事先審慎評估自身的財務狀況風險程式的能力願意承擔財務財務槓桿操作方式所面臨的風險以及辦理保單轉頭以及辦理保單解約轉頭保持權益損失處辦理貸款或保單借款須知複製本金加利息外還有開產品可能發生相關風險最大可能損失小姐本行人員定位鼓勵或確認你用辦理貸款保單借款保單解約保單中午吃定存解約方式購買保險請問是否已經了解	對好	1
請問您是否已事先審慎評估自身財務狀況與風險承受能力，並願承擔因財務槓桿操作方式所面臨的風險及辦理保單解約轉投保之權益損失，除辦理貸款或保單借款需支付本金及利息外，還有該產品可能發生之相關風險及最大可能損失，且本行人員並未鼓勵或勸誘以辦理貸款、保單借款、保單解約/保單終止及定存解約之方式購買保險，請問您是否已瞭解？事先審慎評估自身的財務狀況風險承受能力變成單音財務槓桿操作方式所面臨的風險保單轉投保的權利損失處辦理貸款或保單借款支付本金利息外在產品可能發生相關風險其實最大可能損失請問您是否	摁	0
請問您是否知道本次購買的是○○人壽的保險，不是存款，如果辦理解約將可能只領回部分已繳保費？請問您是否有收到本次購買的是中國人壽保險不是存款如果辦理解約像可能只能回部份繳保費	是的好	1
請問您是否已事先審慎評估自身財務狀況與風險承受能力，並願承擔因財務槓桿操作方式所面臨的風險及辦理保單解約轉投保之權益損失，除辦理貸款或保單借款需支付本金及利息外，還有該產品可能發生之相關風險及最大可能損失，且本行人員並未鼓勵或勸誘以辦理貸款、保單借款、保單解約/保單終止及定存解約之方式購買保險，請問您是否已瞭解？審慎評估之前的財務狀況風險能力醫院承擔財務槓桿操作方式所面臨的風險保單轉頭告知權益的損失除了辦理貸款或者是保單借款需要支付本金利息以外在產品可能發生的相關風險最大可能的損失請問您是否	好	1
請問您是否知道您所繳的保費會扣除相關費用後（像：保單管理費、保險成本等），才進入投資帳戶？請問您是否寄到您的保費會扣除掉相關的費用喔像是保單旅費跟保險成本等國慶路投資的帳戶	條款嗎	0
請問您是否已事先審慎評估自身財務狀況與風險承受能力，並願承擔因財務槓桿操作方式所面臨的風險及辦理保單解約轉投保之權益損失，除辦理貸款或保單借款需支付本金及利息外，還有該產品可能發生之相關風險及最大可能損失，且本行人員並未鼓勵或勸誘以辦理貸款、保單借款、保單解約/保單終止及定存解約之方式購買保險，請問您是否已瞭解？事先審慎評估自身的財務狀況風險承受能力變成單音財務槓桿操作方式所面臨的風險保單轉投保的權利損失處辦理貸款或保單借款支付本金利息外在產品可能發生相關風險其實最大可能損失請問您是否	先生你好	0
請問您投保時，是否皆由○○分行的○○○，在旁邊協助，並由要保人○○○及被保 險人○○○親自簽名，且被保險人之健康告知事項皆由被保險人確認後親自填寫？請問您的時候是否有分行的邱泳圈旁邊做協助棒球要保人味道兩極被保險人回到量親自簽名被保險人而且被保險人健康告知事項街友被保險人確認後親自填寫	嗎對好	1
請問您本次投保繳交保費的資金來源是否為請問一下本次保費的資金來源是否為	沒聽說耶	0
請問您投保時，是否皆由○○分行的○○○，在旁邊協助，並由要保人○○○及被保 險人○○○親自簽名，且被保險人之健康告知事項皆由被保險人確認後親自填寫？請問您投保石油城東分行的林怡辰從旁協助並由您本人親筆簽名嗎對好的那請問呃被保險人健康告知事項也是您本人親自填寫	阿	0
感謝您近期透過本行投保 ○○人壽○○○，繳費年期為○年/躉繳，依照保險法令的要求，為保障您的權益，稍後電話訪問內容將會全程錄音，請問您同意嗎？還本終身繳費請問四年依據法律的要求保障接下來我們通話內容將會全程錄音	是否會儲蓄存款辦理貸款	0
與您再次確認上述投保內容和本次貸款並沒有搭售或不當行銷的情形發生，請問是否正確？您再次確認上述投保內容和本質貸款並沒有大受或不當行銷的情形發生請問是否正確	對好	1
請問您本次投保繳交保費的資金來源是否為請問您是投保繳繳保費的資金來源是否為	是否會儲蓄存款辦理貸款	0
請問您投保時，是否皆由○○分行的○○○，在旁邊協助，並由要保人○○○及被保險人○○○親自簽名，且被保險人之健康告知事項皆由被保險人確認後親自填寫？請問您在淘寶的時候是否都是由樹林放張裕棋在旁邊協助被保險人都是徐音梅小姐你親自簽名被保險人健康事項與您確認然後親自填寫	可以詳細說明嗎	0
感謝您近期透過本行投保 ○○人壽○○○，繳費年期為○年/躉繳，依照保險法令的要求，為保障您的權益，稍後電話訪問內容將會全程錄音，請問您同意嗎？感謝您近期透過本行投保中國人壽的好是零零利率變動型終身保險然後繳保費的年紀為四年那依照保險法的要求到您的權益電話訪問將會全程的錄音請問	對啊	1
請問您投保時，是否皆由○○消金中心的○○○，在旁邊協助，並由您本人○○○親自簽名，且被保險人之健康告知事項皆由您確認後親自填寫？請問您投保時是否街友北市消金中心的申請楊先生在旁邊協助並由您本人林先生親自簽名車被保險人是健康告知事項先與您確認齁親自填寫	先生你好	0
請問您本次投保繳交保費的資金來源是否為？請問本是保費的資金來源是否為	先生你好	0
請問您是否已事先審慎評估自身財務狀況與風險承受能力，並願承擔因財務槓桿操作方式所面臨的風險及辦理保單解約轉投保之權益損失，除辦理貸款或保單借款需支付本金及利息外，還有該產品可能發生之相關風險及最大可能損失，且本行人員並未鼓勵或勸誘以辦理貸款、保單借款、保單解約/保單終止及定存解約之方式購買保險，請問您是否已瞭解？審慎評估之前的財務狀況風險能力醫院承擔財務槓桿操作方式所面臨的風險保單轉頭告知權益的損失除了辦理貸款或者是保單借款需要支付本金利息以外在產品可能發生的相關風險最大可能的損失請問您是否	好	1
您好！這裡是玉山銀行總行保代部/OO分行，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？這邊是那個玉山銀行然後三和分行李木子李我的員編零七二八二請問是味道梁先生嗎本人嗎	不好意思	0
請問您本次投保繳交保費的資金來源是否為請問您是投保繳繳保費的資金來源是否為	需求請問有好的謝謝	1
您好！這裡是玉山銀行總行保代部/OO分行，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行總行保障部敝姓李要員工編號二零二七一好請問是張先生本人嗎	嗎對	1
請問您本次投保繳交保費的資金來源是否為請問您是投保繳繳保費的資金來源是否為	本人嗎對對	1
請問您本次投保繳交保費的資金來源是否為請問本次投保繳保費的資訊來源是否	保證	0
請問您是否知道本次購買的是○○人壽的保險，不是存款，如果辦理解約將可能只領回部分已繳保費？請問您是否知道本次購買是南山人壽保險不是存款如果辦理解約將可能資料的部份一繳保費	是否會儲蓄存款辦理貸款	0
請問您是否知道本次購買的是○○人壽的保險，不是存款，如果辦理解約將可能只領回部分已繳保費？請問您是否有收到本次購買的是中國人壽保險不是存款如果辦理解約像可能只能回部份繳保費	條款嗎	0
請問您本次投保繳交保費的資金來源是否為請問您本身是投保繳繳保費的資金來源是否為	嗎對好	1
您好！這裡是玉山銀行總行保代部/OO分行，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行總行保障部敝姓李要員工編號二零二七一好請問是張先生本人嗎	摁	0
您好！這裡是玉山銀行總行個金處/OO分行/OO消金中心，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行新北市家庭中心敝姓劉員工編號是零六六一四好請問是李慧珍小姐本人嗎	了解好	1
請問您是否知道如果中途部分提領或提前解約，保險公司會依受理當時的保單帳戶價值扣除當年度的解約費用後，再給付給您？請問您是否知道如果中途部分提領或是提醒解約保險公司會受理當時的保單帳戶價值扣除掉當年度的幾月費用後再	嗎	0
請問您是否知道本次購買的是○○人壽的保險，不是存款，如果辦理解約將可能只領回部分已繳保費？請問您是否知道本次購買是南山人壽保險不是存款如果辦理解約將可能資料的部份一繳保費	是嗎	0
請問您投保時，是否皆由○○消金中心的○○○，在旁邊協助，並由您本人○○○親自簽名，且被保險人之健康告知事項皆由您確認後親自填寫？請問頭髮時是否新北二心中心的李俊宏先生在旁邊協助並由您本人林惠貞親自簽名車被保險人健康告知事項也只有你確認親自填寫	是	1
您好！這裡是玉山銀行總行個金處/OO分行/OO消金中心，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行新北市家庭中心敝姓劉員工編號是零六六一四好請問是李慧珍小姐本人嗎	我知道	1
請問您本次投保繳交保費的資金來源是否為？請問本是保費的資金來源是否為	嗎我知道	1
請問您是否已事先審慎評估自身財務狀況與風險承受能力，並願承擔因財務槓桿操作方式所面臨的風險及辦理保單解約轉投保之權益損失，除辦理貸款或保單借款需支付本金及利息外，還有該產品可能發生之相關風險及最大可能損失，且本行人員並未鼓勵或勸誘以辦理貸款、保單借款、保單解約/保單終止及定存解約之方式購買保險，請問您是否已瞭解？審慎評估之前的財務狀況風險能力醫院承擔財務槓桿操作方式所面臨的風險保單轉頭告知權益的損失除了辦理貸款或者是保單借款需要支付本金利息以外在產品可能發生的相關風險最大可能的損失請問您是否	是嗎	0
感謝您近期透過本行投保 ○○人壽○○○，繳費年期為O年/躉繳，依照保險法令的要求，為保障您的權益，稍後電話訪問內容將會全程錄音，請問您同意嗎？感謝您近期有透過本行投保安聯受豐沛人生變額外受限繳費年紀是躉繳依照保險法要求為了保障您的權益等一下電話服務內容會全程做錄音請問	沒聽說耶	0
請問○○分行的○○○是否有向您說明產品內容，並確認符合您的需求？請問地址發行警察先生是否像您說明產品內容辦出院符合你的需求	阿	0
您好！這裡是玉山銀行總行保代部/OO分行，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行總行保單不必杏堯員工編號二零二七一好請問是余因為小姐本人嗎	沒聽說耶	0
請問您是否知道本次購買的是○○人壽的保險，不是存款，如果辦理解約將可能只領回部分已繳保費？請問您是否有收到本次購買的是中國人壽保險不是存款如果辦理解約像可能只能回部份繳保費	保證	0
您好！這裡是玉山銀行總行個金處/OO分行/OO消金中心，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行新北市家庭中心敝姓劉員工編號是零六六一四好請問是李慧珍小姐本人嗎	好	1
請問您是否知道本次購買的是○○人壽的保險，不是存款，如果辦理解約將可能只領回部分已繳保費？請問您是否有收到本次購買的是中國人壽保險不是存款如果辦理解約像可能只能回部份繳保費	小姐	0
請問您投保時，是否皆由○○分行的○○○，在旁邊協助，並由要保人○○○及被保 險人○○○親自簽名，且被保險人之健康告知事項皆由被保險人確認後親自填寫？請問您的時候是否有分行的邱泳圈旁邊做協助棒球要保人味道兩極被保險人回到量親自簽名被保險人而且被保險人健康告知事項街友被保險人確認後親自填寫	有說明	1
請問您投保時，是否皆由○○分行的○○○，在旁邊協助，並由要保人○○○及被保 險人○○○親自簽名，且被保險人之健康告知事項皆由被保險人確認後親自填寫？請問您投保時事有南港分行的豬於心從旁協助棒球要保人帳戶先升級被保險人是您本人正副卡先生親自簽名車被保險人的健康告知事項都是由政府和先生也是被保險人親自填寫	保證	0
請問您是否知道您所繳的保費會扣除相關費用後（像：保單管理費、保險成本等），才進入投資帳戶？請問您是否寄到您的保費會扣除掉相關的費用喔像是保單旅費跟保險成本等國慶路投資的帳戶	需求有有好	1
請問您是否知道本次購買的是○○人壽的投資型保險，需自行承擔淨值變動的風險， 並無投資方面的保證？請問您是否知道本子購買的這個是安聯收益投資型保險需要自行承擔緊急變動的風險點五投資方面的	是否為儲蓄對好	1
感謝您近期透過本行投保 ○○人壽○○○，繳費年期為○年/躉繳，依照保險法令的要求，為保障您的權益，稍後電話訪問內容將會全程錄音，請問您同意嗎？感謝您近期透過本行投保中國人壽的好是零零利率變動型終身保險然後繳保費的年紀為四年那依照保險法的要求到您的權益電話訪問將會全程的錄音請問	需求請問有好的謝謝	1
您好！這裡是玉山銀行總行保代部/OO分行，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？這邊是那個玉山銀行然後三和分行李木子李我的員編零七二八二請問是味道梁先生嗎本人嗎	有好	1
您好！這裡是玉山銀行總行保代部/OO分行，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行總行寶貝不敝姓要員工編號二零二七一好請問是吳上漆先生本人嗎	條款嗎	0
請問您本次投保繳交保費的資金來源是否為請問本次投保繳保費的資訊來源是否	摁	0
您好！這裡是玉山銀行總行個金處/OO分行/OO消金中心，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行實施宵禁中心敝姓管理員工編號是零九三六是鄰居元先生本人嗎	是嗎	0
請問您投保時，是否皆由○○消金中心的○○○，在旁邊協助，並由您本人○○○親自簽名，且被保險人之健康告知事項皆由您確認後親自填寫？請問頭髮時是否新北二心中心的李俊宏先生在旁邊協助並由您本人林惠貞親自簽名車被保險人健康告知事項也只有你確認親自填寫	好的	1
您好！這裡是玉山銀行總行保代部/OO分行，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行總行寶貝不敝姓要員工編號二零二七一好請問是吳上漆先生本人嗎	什麼意思	0
請問您是否知道如果中途部分提領或提前解約，保險公司會依受理當時的保單帳戶價值扣除當年度的解約費用後，再給付給您？請問您是否知道如果中途部分提領或是提醒解約保險公司會受理當時的保單帳戶價值扣除掉當年度的幾月費用後再	沒聽說耶	0
您好！這裡是玉山銀行總行保代部/OO分行，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行總行寶貝不敝姓要員工編號二零二七一好請問是吳上漆先生本人嗎	他那個	0
請問○○分行的○○○是否有向您說明產品內容，並確認符合您的需求？請問地址發行警察先生是否像您說明產品內容辦出院符合你的需求	是嗎	0
請問您是否已事先審慎評估自身財務狀況與風險承受能力，並願承擔因財務槓桿操作方式所面臨的風險及辦理保單解約轉投保之權益損失，除辦理貸款或保單借款需支付本金及利息外，還有該產品可能發生之相關風險及最大可能損失，且本行人員並未鼓勵或勸誘以辦理貸款、保單借款、保單解約/保單終止及定存解約之方式購買保險，請問您是否已瞭解？事先審慎評估自身的財務狀況風險承受能力變成單音財務槓桿操作方式所面臨的風險保單轉投保的權利損失處辦理貸款或保單借款支付本金利息外在產品可能發生相關風險其實最大可能損失請問您是否	先生你好	0
請問您是否知道本次購買的是○○人壽的保險，不是存款，如果辦理解約將可能只領回部分已繳保費？請問您是否知道本次購買是南山人壽保險不是存款如果辦理解約將可能資料的部份一繳保費	嗯嗯嗯	0
請問您是否已事先審慎評估自身財務狀況與風險承受能力，並願承擔因財務槓桿操作方式所面臨的風險及辦理保單解約轉投保之權益損失，除辦理貸款或保單借款需支付本金及利息外，還有該產品可能發生之相關風險及最大可能損失，且本行人員並未鼓勵或勸誘以辦理貸款、保單借款、保單解約/保單終止及定存解約之方式購買保險，請問您是否已瞭解？事先審慎評估自身的財務狀況風險承受能力變成單音財務槓桿操作方式所面臨的風險保單轉投保的權利損失處辦理貸款或保單借款支付本金利息外在產品可能發生相關風險其實最大可能損失請問您是否	摁	0
請問您是否知道本次購買的是○○人壽的保險，不是存款，如果辦理解約將可能只領回部分已繳保費？請問您是否知道本次購買是南山人壽保險不是存款如果辦理解約將可能資料的部份一繳保費	是	1
請問○○分行的○○○是否有向您說明產品內容，並確認符合您的需求？是否有跟您說明產品的內容幫您確認請問您的需求	所以	0
請問您投保時，是否皆由○○消金中心的○○○，在旁邊協助，並由您本人○○○親自簽名，且被保險人之健康告知事項皆由您確認後親自填寫？請問您投保時是否街友北市消金中心的申請楊先生在旁邊協助並由您本人林先生親自簽名車被保險人是健康告知事項先與您確認齁親自填寫	欸有	1
請問您是否已事先審慎評估自身財務狀況與風險承受能力，並願承擔因財務槓桿操作方式所面臨的風險及辦理保單解約轉投保之權益損失，除辦理貸款或保單借款需支付本金及利息外，還有該產品可能發生之相關風險及最大可能損失，且本行人員並未鼓勵或勸誘以辦理貸款、保單借款、保單解約/保單終止及定存解約之方式購買保險，請問您是否已瞭解？事先審慎評估自身的財務狀況風險承受能力變成單音財務槓桿操作方式所面臨的風險保單轉投保的權利損失處辦理貸款或保單借款支付本金利息外在產品可能發生相關風險其實最大可能損失請問您是否	可以詳細說明嗎	0
感謝您近期透過本行投保○○人壽○○○，繳費年期為O年/躉繳，依照保險法令的要求，為保障您的權益，稍後電話訪問內容將會全程錄音，請問您同意嗎？感謝你定期透過本行投保發現法國巴黎人壽幸福世代遞減定期受限繳費年輕一次付清依照保險法的要求要保障權益等一下電話訪問內容會全程錄音請問同意嗎	填寫對對	1
請問您本次投保繳交保費的資金來源是否為本次的保費的資金是來源是否	有好	1
請問您本次投保繳交保費的資金來源是否為？請問本是保費的資金來源是否為	什麼意思	0
請問您是否知道本次購買的是○○人壽的保險，不是存款，如果辦理解約將可能只領回部分已繳保費？請問您是否有收到本次購買的是中國人壽保險不是存款如果辦理解約像可能只能回部份繳保費	先生你好	0
您好！這裡是玉山銀行總行個金處/OO分行/OO消金中心，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行實施宵禁中心敝姓管理員工編號是零九三六是鄰居元先生本人嗎	所以	0
請問○○分行的○○○是否有向您說明產品內容，並確認符合您的需求？請問地址發行警察先生是否像您說明產品內容辦出院符合你的需求	喔喔嗯	0
請問您是否知道本次購買的是○○人壽的投資型保險，需自行承擔淨值變動的風險， 並無投資方面的保證？請問您是否知道本子購買的這個是安聯收益投資型保險需要自行承擔緊急變動的風險點五投資方面的	什麼意思	0
感謝您近期透過本行投保 ○○人壽○○○，繳費年期為○年/躉繳，依照保險法令的要求，為保障您的權益，稍後電話訪問內容將會全程錄音，請問您同意嗎？還本終身繳費請問四年依據法律的要求保障接下來我們通話內容將會全程錄音	了解了解	1
請問您是否知道本次購買的是○○人壽的保險，不是存款，如果辦理解約將可能只領回部分已繳保費？請問您是否知道本子購買的是中國人壽保險不是存款如果辦理解約將可能領回部份繳費	是否會儲蓄存款辦理貸款	0
請問您是否知道本次購買的是○○人壽的保險，不是存款，如果辦理解約將可能只領回部分已繳保費？請問您是否有收到本子購買這兩張都是南山人壽保險不是存款如果辦理解約將可能只能領回部份繳保費	不確定	0
請問您本次投保繳交保費的資金來源是否為本次的保費的資金是來源是否	嘿我是	1
請問您本次投保繳交保費的資金來源是否為本次的保費的資金是來源是否	好的了解	1
請問您本次投保繳交保費的資金來源是否為？請問本是保費的資金來源是否為	什麼意思	0
請問您是否已事先審慎評估自身財務狀況與風險承受能力，並願承擔因財務槓桿操作方式所面臨的風險及辦理保單解約轉投保之權益損失，除辦理貸款或保單借款需支付本金及利息外，還有該產品可能發生之相關風險及最大可能損失，且本行人員並未鼓勵或勸誘以辦理貸款、保單借款、保單解約/保單終止及定存解約之方式購買保險，請問您是否已瞭解？事先審慎評估自身的財務狀況風險承受能力另外承擔財務槓桿操作方式所面臨的風險保單轉投保的權益損失辦理貸款或保單借款去支付本金利息外產品可能發生相關風險其實最大可能損失請問您是否	沒聽說耶	0
請問您是否知道本次購買的是○○人壽的保險，不是存款，如果辦理解約將可能只領回部分已繳保費？請問您是否有收到本子購買這兩張都是南山人壽保險不是存款如果辦理解約將可能只能領回部份繳保費	喔喔嗯	0
請問您投保時，是否皆由○○分行的○○○，在旁邊協助，並由要保人○○○及被保 險人○○○親自簽名，且被保險人之健康告知事項皆由被保險人確認後親自填寫？請問您在淘寶的時候是否都是我們汐止分行的錢重新在旁邊協助比如說被保險人都是五上漆先生你親自簽名那被保險人健康告知事項與您確認後親自填寫	指出好	1
請問您本次投保繳交保費的資金來源是否為本次的保費的資金是來源是否	嗯嗯嗯	0
請問您是否已事先審慎評估自身財務狀況與風險承受能力，並願承擔因財務槓桿操作方式所面臨的風險及辦理保單解約轉投保之權益損失，除辦理貸款或保單借款需支付本金及利息外，還有該產品可能發生之相關風險及最大可能損失，且本行人員並未鼓勵或勸誘以辦理貸款、保單借款、保單解約/保單終止及定存解約之方式購買保險，請問您是否已瞭解？請問您是否已事先審慎評估自身的財務狀況風險程式的能力願意承擔財務財務槓桿操作方式所面臨的風險以及辦理保單轉頭以及辦理保單解約轉頭保持權益損失處辦理貸款或保單借款須知複製本金加利息外還有開產品可能發生相關風險最大可能損失小姐本行人員定位鼓勵或確認你用辦理貸款保單借款保單解約保單中午吃定存解約方式購買保險請問是否已經了解	嗯嗯嗯	0
請問您投保時，是否皆由○○分行的○○○，在旁邊協助，並由要保人○○○及被保 險人○○○親自簽名，且被保險人之健康告知事項皆由被保險人確認後親自填寫？請問您投保石油城東分行的林怡辰從旁協助並由您本人親筆簽名嗎對好的那請問呃被保險人健康告知事項也是您本人親自填寫	保證	0
請問您本次投保繳交保費的資金來源是否為請問一下本次保費的資金來源是否為	嗎我知道好	1
請問您是否知道本次購買的是○○人壽的投資型保險，需自行承擔淨值變動的風險， 並無投資方面的保證？請問您是否知道本子購買的這個是安聯收益投資型保險需要自行承擔緊急變動的風險點五投資方面的	什麼意思	0
請問您本次投保繳交保費的資金來源是否為請問本次投保繳保費的資訊來源是否	是	1
請問您是否知道本次購買的是○○人壽的投資型保險，需自行承擔淨值變動的風險， 並無投資方面的保證？請問您是否知道本子購買的這個是安聯收益投資型保險需要自行承擔緊急變動的風險點五投資方面的	嗎可以	1
您好！這裡是玉山銀行總行保代部/OO分行，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行總行保單不必杏堯員工編號二零二七一好請問是余因為小姐本人嗎	正確是好	1
感謝您近期透過本行投保 ○○人壽○○○，繳費年期為○年/躉繳，依照保險法令的要求，為保障您的權益，稍後電話訪問內容將會全程錄音，請問您同意嗎？還本終身繳費請問四年依據法律的要求保障接下來我們通話內容將會全程錄音	不好意思	0
請問您本次投保繳交保費的資金來源是否為？請問本是保費的資金來源是否為	都知道公司收到	1
您好！這裡是玉山銀行總行保代部/OO分行，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行總行保單不必杏堯員工編號二零二七一好請問是余因為小姐本人嗎	所以	0
請問○○分行的○○○是否有向您說明產品內容，並確認符合您的需求？是否有跟您說明產品的內容幫您確認請問您的需求	條款嗎	0
請問您本次投保繳交保費的資金來源是否為請問本次投保繳保費的資訊來源是否	不確定	0
感謝您近期透過本行投保○○人壽○○○，繳費年期為O年/躉繳，依照保險法令的要求，為保障您的權益，稍後電話訪問內容將會全程錄音，請問您同意嗎？感謝你定期透過本行投保發現法國巴黎人壽幸福世代遞減定期受限繳費年輕一次付清依照保險法的要求要保障權益等一下電話訪問內容會全程錄音請問同意嗎	不確定	0
感謝您近期透過本行投保 ○○人壽○○○，繳費年期為○年/躉繳，依照保險法令的要求，為保障您的權益，稍後電話訪問內容將會全程錄音，請問您同意嗎？壽險繳費年紀為六年依據保險法令的要求為保障您的權益接下來我們通話內容會全程錄音	所以	0
您好！這裡是玉山銀行總行個金處/OO分行/OO消金中心，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行實施宵禁中心敝姓管理員工編號是零九三六是鄰居元先生本人嗎	對啊	1
請問您是否知道本次購買的是○○人壽的投資型保險，需自行承擔淨值變動的風險， 並無投資方面的保證？請問您知道本子購買安聯人生投資型保險是自行承擔禁止變動的風險並沒有投資方面的保證	本人嗎對對	1
請問招攬人員是否有提供您一次繳清與分期繳等不同繳費方式選擇？請問江男人員是否提供一次付清還是分期繳不同繳款方式讓您選擇	阿	0
請問您是否知道本次購買的是○○人壽的投資型保險，需自行承擔淨值變動的風險， 並無投資方面的保證？請問您知道本子購買安聯人生投資型保險是自行承擔禁止變動的風險並沒有投資方面的保證	需求有有好	1
感謝您近期透過本行投保 ○○人壽○○○，繳費年期為○年/躉繳，依照保險法令的要求，為保障您的權益，稍後電話訪問內容將會全程錄音，請問您同意嗎？壽險繳費年紀為六年依據保險法令的要求為保障您的權益接下來我們通話內容會全程錄音	他說他提供分期分期會比較	1
請問您投保時，是否皆由○○消金中心的○○○，在旁邊協助，並由您本人○○○親自簽名，且被保險人之健康告知事項皆由您確認後親自填寫？請問頭髮時是否新北二心中心的李俊宏先生在旁邊協助並由您本人林惠貞親自簽名車被保險人健康告知事項也只有你確認親自填寫	保證	0
請問您是否知道本次購買的是○○人壽的投資型保險，需自行承擔淨值變動的風險， 並無投資方面的保證？請問您是否知道本子購買的這個是安聯收益投資型保險需要自行承擔緊急變動的風險點五投資方面的	沒聽說耶	0
請問您本次投保繳交保費的資金來源是否為請問您本身是投保繳繳保費的資金來源是否為	嗎我知道好	1
請問○○分行的○○○是否有向您說明產品內容，並確認符合您的需求？是否有跟您說明產品的內容幫您確認請問您的需求	嗯嗯嗯	0
您好！這裡是玉山銀行總行保代部/OO分行，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行總行保障部敝姓李要員工編號二零二七一好請問是張先生本人嗎	正確是好	1
您好！這裡是玉山銀行總行保代部/OO分行，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行總行寶貝不敝姓要員工編號二零二七一好請問是吳上漆先生本人嗎	繳費知道	1
